Level,UpkeepCost,LevelStipend,IntervalStipend,IntervalEarningsCap,CapModifier,NumberOfUpgradesRegressed,WardecCost,TradingPostLevel,EarningsDistributionTID2,EarningsDistributionTID4,EarningsDistributionTID5,EarningsDistributionTID6,EarningsDistributionTID8,EarningsDistributionTID9,EarningsDistributionTID10,EarningsDistributionTID11,EarningsDistributionTID12,EarningsDistributionTID13,EarningsDistributionTID15,EarningsDistributionTID16,TotalDistributionCheck
20,9975000,0,0,100000000,1.475000023841858,2,1000000,3,0.05249999836087227,0.06560000032186508,0.039400000125169754,0.06560000032186508,0.05249999836087227,0.02630000002682209,0.02630000002682209,0.02630000002682209,0.05249999836087227,0.02630000002682209,0.02630000002682209,0.06560000032186508,0.5252000093460083
21,10450000,0,0,100000000,1.5,3,1000000,3,0.054999999701976776,0.06880000233650208,0.04129999876022339,0.06880000233650208,0.054999999701976776,0.027499999850988388,0.027499999850988388,0.027499999850988388,0.054999999701976776,0.027499999850988388,0.027499999850988388,0.06880000233650208,0.5501999855041504
22,10925000,0,0,100000000,1.524999976158142,3,1000000,3,0.057500001043081284,0.07190000265836716,0.04309999942779541,0.07190000265836716,0.057500001043081284,0.02879999950528145,0.02879999950528145,0.02879999950528145,0.057500001043081284,0.02879999950528145,0.02879999950528145,0.07190000265836716,0.5752999782562256
23,11400000,0,0,100000000,1.5499999523162842,3,1000000,3,0.05999999865889549,0.07500000298023224,0.04500000178813934,0.07500000298023224,0.05999999865889549,0.029999999329447746,0.029999999329447746,0.029999999329447746,0.05999999865889549,0.029999999329447746,0.029999999329447746,0.07500000298023224,0.6000000238418579
24,11875000,0,0,100000000,1.5750000476837158,3,1000000,3,0.0625,0.07810000330209732,0.04690000042319298,0.07810000330209732,0.0625,0.031300000846385956,0.031300000846385956,0.031300000846385956,0.0625,0.031300000846385956,0.031300000846385956,0.07810000330209732,0.6251999735832214
25,12350000,0,0,100000000,1.600000023841858,3,1000000,3,0.06499999761581421,0.08129999786615372,0.04879999905824661,0.08129999786615372,0.06499999761581421,0.032499998807907104,0.032499998807907104,0.032499998807907104,0.06499999761581421,0.032499998807907104,0.032499998807907104,0.08129999786615372,0.6502000093460083
26,12825000,0,0,100000000,1.625,4,1000000,3,0.06750000268220901,0.0843999981880188,0.050599999725818634,0.0843999981880188,0.06750000268220901,0.033799998462200165,0.033799998462200165,0.033799998462200165,0.06750000268220901,0.033799998462200165,0.033799998462200165,0.0843999981880188,0.6753000020980835
27,13300000,0,0,100000000,1.649999976158142,4,1000000,3,0.07000000029802322,0.08749999850988388,0.05249999836087227,0.08749999850988388,0.07000000029802322,0.03500000014901161,0.03500000014901161,0.03500000014901161,0.07000000029802322,0.03500000014901161,0.03500000014901161,0.08749999850988388,0.699999988079071
28,13775000,0,0,100000000,1.6749999523162842,4,1000000,3,0.07249999791383743,0.09059999883174896,0.0544000007212162,0.09059999883174896,0.07249999791383743,0.03629999980330467,0.03629999980330467,0.03629999980330467,0.07249999791383743,0.03629999980330467,0.03629999980330467,0.09059999883174896,0.7251999974250793
29,14250000,0,0,100000000,1.7000000476837158,4,1000000,3,0.07500000298023224,0.09380000084638596,0.056299999356269836,0.09380000084638596,0.07500000298023224,0.03750000149011612,0.03750000149011612,0.03750000149011612,0.07500000298023224,0.03750000149011612,0.03750000149011612,0.09380000084638596,0.7501999735832214
30,14725000,0,0,100000000,1.725000023841858,5,1000000,3,0.07750000059604645,0.09690000116825104,0.05810000002384186,0.09690000116825104,0.07750000059604645,0.03880000114440918,0.03880000114440918,0.03880000114440918,0.07750000059604645,0.03880000114440918,0.03880000114440918,0.09690000116825104,0.7753000259399414
31,15200000,0,0,100000000,1.75,5,1000000,3,0.07999999821186066,0.10000000149011612,0.05999999865889549,0.10000000149011612,0.07999999821186066,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.07999999821186066,0.03999999910593033,0.03999999910593033,0.10000000149011612,0.800000011920929
32,15675000,0,0,100000000,1.774999976158142,5,1000000,3,0.08250000327825546,0.1031000018119812,0.061900001019239426,0.1031000018119812,0.08250000327825546,0.04129999876022339,0.04129999876022339,0.04129999876022339,0.08250000327825546,0.04129999876022339,0.04129999876022339,0.1031000018119812,0.8252000212669373
33,16150000,0,0,100000000,1.7999999523162842,6,1000000,3,0.08500000089406967,0.1062999963760376,0.06379999965429306,0.1062999963760376,0.08500000089406967,0.042500000447034836,0.042500000447034836,0.042500000447034836,0.08500000089406967,0.042500000447034836,0.042500000447034836,0.1062999963760376,0.8501999974250793
34,16625000,0,0,100000000,1.8250000476837158,6,1000000,3,0.08749999850988388,0.10939999669790268,0.06560000032186508,0.10939999669790268,0.08749999850988388,0.043800000101327896,0.043800000101327896,0.043800000101327896,0.08749999850988388,0.043800000101327896,0.043800000101327896,0.10939999669790268,0.8752999901771545
35,17100000,0,0,100000000,1.850000023841858,6,1000000,3,0.09000000357627869,0.11249999701976776,0.06750000268220901,0.11249999701976776,0.09000000357627869,0.04500000178813934,0.04500000178813934,0.04500000178813934,0.09000000357627869,0.04500000178813934,0.04500000178813934,0.11249999701976776,0.8999999761581421
36,17575000,0,0,100000000,2.8499999046325684,7,1000000,3,0.0925000011920929,0.11559999734163284,0.06939999759197235,0.11559999734163284,0.0925000011920929,0.046300001442432404,0.046300001442432404,0.046300001442432404,0.0925000011920929,0.046300001442432404,0.046300001442432404,0.11559999734163284,0.9251999855041504
37,18050000,0,0,100000000,3.8499999046325684,7,1000000,3,0.0949999988079071,0.11879999935626984,0.07129999995231628,0.11879999935626984,0.0949999988079071,0.04749999940395355,0.04749999940395355,0.04749999940395355,0.0949999988079071,0.04749999940395355,0.04749999940395355,0.11879999935626984,0.9502000212669373
38,18525000,0,0,100000000,4.849999904632568,7,1000000,3,0.09749999642372131,0.12189999967813492,0.0731000006198883,0.12189999967813492,0.09749999642372131,0.04879999905824661,0.04879999905824661,0.04879999905824661,0.09749999642372131,0.04879999905824661,0.04879999905824661,0.12189999967813492,0.9753000140190125
39,19000000,0,0,100000000,5.849999904632568,8,1000000,3,0.10000000149011612,0.125,0.07500000298023224,0.125,0.10000000149011612,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.10000000149011612,0.05000000074505806,0.05000000074505806,0.125,1
40,19000000,0,0,100000000,6.849999904632568,8,1000000,3,0.10000000149011612,0.125,0.07500000298023224,0.125,0.10000000149011612,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.10000000149011612,0.05000000074505806,0.05000000074505806,0.125,1
41,19000000,0,0,100000000,7.849999904632568,8,1000000,3,0.10000000149011612,0.125,0.07500000298023224,0.125,0.10000000149011612,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.10000000149011612,0.05000000074505806,0.05000000074505806,0.125,1
42,19000000,0,0,100000000,8.850000381469727,8,1000000,3,0.10000000149011612,0.125,0.07500000298023224,0.125,0.10000000149011612,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.10000000149011612,0.05000000074505806,0.05000000074505806,0.125,1
43,19000000,0,0,100000000,9.850000381469727,8,1000000,3,0.10000000149011612,0.125,0.07500000298023224,0.125,0.10000000149011612,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.10000000149011612,0.05000000074505806,0.05000000074505806,0.125,1
44,19000000,0,0,100000000,10.850000381469727,8,1000000,3,0.10000000149011612,0.125,0.07500000298023224,0.125,0.10000000149011612,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.10000000149011612,0.05000000074505806,0.05000000074505806,0.125,1
45,19000000,0,0,100000000,11.850000381469727,8,1000000,3,0.10000000149011612,0.125,0.07500000298023224,0.125,0.10000000149011612,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.10000000149011612,0.05000000074505806,0.05000000074505806,0.125,1
